Newsletter Date,Scientist,Description,Picture
2/20/26,Dr. Elmer Samuel Imes,"Dr. Elmer Samuel Imes was an American physicist from Memphis who earned his B.A. and M.A. degrees from Fisk University and his Ph.D. in physics from the University of Michigan in 1918, conducting research in infrared spectroscopy and molecular structure. In 1919, he published groundbreaking measurements of the infrared absorption spectra of diatomic molecules, providing early experimental confirmation of quantum theory and influencing the development of modern molecular physics. Imes served as chair of the physics department at Fisk University from 1920 to 1927, where he built one of the strongest physics programs at a historically Black college and mentored a generation of African American scientists. Beyond his laboratory achievements, he was active in advancing educational equity, helping strengthen science education at historically Black institutions during the Jim Crow era.",
3/5/26,Dr. Edward Bouchet,"Dr. Edward Bouchet was an American physicist and the first African American student to earn a PhD from an American university, doing so from Yale College in 1876. He was born in New Haven, Connecticut to his father, an enslaved valet of a Yale student, and his mother, a laundress at Yale. Bouchet graduated from the Hopkins School in 1870 as the valedictorian, and enrolled at Yale. He was one of the first African American students to graduate from Yale College and went on to complete his doctoral thesis in just 2 years on refractive indices. After graduation, Bouchet taught physics and chemistry at the Institute for Colored Youth (now Cheyney University) for 26 years, before being forced to resign by an all-white board in 1902. Today, the APS gives out the Edward A. Bouchet award for outstanding contributions to physics and Yale and Howard University have an Edward A. Bouchet Graduate Honor Society to honor his legacy. ",
3/12/26,Dr. Sau Lan Wu,"Dr. Sau Lan Wu is a Chinese-American experimental particle physicist born under the Japanese occupation of Hong Kong in 1940, who earned her bachelor’s degree in physics from National Taiwan University in 1963 and her Ph.D. from Harvard University in 1970, and she studies high-energy particle physics. She worked on experiments at CERN with the UA1 collaboration that helped discover the W and Z bosons in 1983, particles that mediate the weak nuclear force predicted by electroweak theory. Later at the University of Wisconsin-Madison, she contributed to the Compact Muon Solenoid (CMS) experiment at CERN’s Large Hadron Collider, part of the international effort that confirmed the Higgs boson in 2012. She has also supported equity in science by mentoring young physicists and funding the Wu Sau Lan Center for Dark Matter and Cosmology at National Taiwan University in 2017 to expand opportunities in physics research.",
3/19/26,Dr. Anne L'Huillier,"Dr. Anne L’Huillier is a French physicist and the recipient of the Nobel Prize in Physics in 2023 for her work in attoseconds physics. She was born in Paris and attended École Normale Supérieure, Fontenay-aux-Roses as an undergraduate, before receiving a double masters in theoretical physics and mathematics and a PhD in experimental physics from Pierre and Marie Curie University. She worked in various labs as a postdoctorate, studying high harmonic oscillation and collecting many accolades, such as the Wolf Prize in Physics and the Blaise Pascal Medal. L’Huillier served on the Nobel Committee for Physics from 2007-2015, and later won her own Nobel Prize, along with Ferenc Krausz and Pierre Agostini for their novel methods of attosecond physics to study electron dynamics in matter. ",
,,,
4/16/26,Dr. Jessica Esquivel,"Dr. Jessica Esquivel is a Black Mexican and American physicist currently researching at Fermilab on the Muon g-2 particle physics project. She grew up in Texas and eventually received her B.S. in electrical engineering and physics from St. Mary’s University, Texas, in 2011. Dr. Esquivel went on to Syracuse University, where she achieved her PhD for her research in machine learning methods to improve particle physics data analysis. After graduation, she joined her project at Fermilab. In addition to her revolutionary research work, she is a lead organizer for #BlackInPhysics, a week in October dedicated to celebrating the contributions of Black physicists, and a radical advocate for gender equity in science. ",
,,,
4/30/26,Dr. Willie Rockward,"Dr. Willie Rockward is an American physicist and a four-year president of the National Society of Black Physicists. He grew up playing American football in Louisiana, and eventually turned down football scholarships at Duke University and Louisiana State University in favor of earning his physics degree and playing football at Grambling State University. He graduated cum laude in 1988 with a B.S. in physics, and went on to receive his PhD in Physics from Georgia Institute of Technology, researching diffractive optics and quadrature microscopy. He later joined the faculty at Morehouse College, where he championed the method of mentorship to support underrepresented groups in physics. In 2022, Dr. Rockward went on to receive the Worth Seagondollar Service Award at the Society of Physics Students PhysCon. His current research performs spectroscopic analysis on binary star systems.",
